"","dateTime","maxTemp","minTemp","avgTemp","tempDept"
"260","2016-09-16T00:00:00",79,53,66,4.1
"261","2016-09-17T00:00:00",78,64,71,9.5
"262","2016-09-18T00:00:00",78,57,68,6.9
"263","2016-09-19T00:00:00",83,53,68,7.3
"264","2016-09-20T00:00:00",82,57,70,9.7
"265","2016-09-21T00:00:00",81,54,68,8.2
"266","2016-09-22T00:00:00",83,61,72,12.6
"267","2016-09-23T00:00:00",71,58,64,5
"269","2016-09-25T00:00:00",75,49,62,3.9
"278","2016-10-04T00:00:00",74,49,62,7.5
"279","2016-10-05T00:00:00",80,60,70,15.9
"280","2016-10-06T00:00:00",79,56,68,14.3
"281","2016-10-07T00:00:00",82,50,66,12.7
"285","2016-10-11T00:00:00",71,51,61,9.1
"286","2016-10-12T00:00:00",73,50,62,10.5
"291","2016-10-17T00:00:00",77,63,70,20.2
"292","2016-10-18T00:00:00",77,51,64,14.5
"293","2016-10-19T00:00:00",72,47,60,10.8
"306","2016-11-01T00:00:00",77,48,62,17
"323","2016-11-18T00:00:00",72,48,60,21.3
