"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2016-01-01T00:00:00","AWND","GHCND:USW00014836",69,"","","W",""
"2","2016-01-01T00:00:00","PRCP","GHCND:USW00014836",10,"","","W","2400"
"3","2016-01-01T00:00:00","SNOW","GHCND:USW00014836",18,"","","W",""
"4","2016-01-01T00:00:00","TAVG","GHCND:USW00014836",-29,"H","","S",""
"5","2016-01-01T00:00:00","TMAX","GHCND:USW00014836",-16,"","","W","2400"
"6","2016-01-01T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"7","2016-01-01T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"8","2016-01-01T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"9","2016-01-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2016-01-02T00:00:00","AWND","GHCND:USW00014836",65,"","","W",""
"11","2016-01-02T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"12","2016-01-02T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"13","2016-01-02T00:00:00","TAVG","GHCND:USW00014836",-12,"H","","S",""
"14","2016-01-02T00:00:00","TMAX","GHCND:USW00014836",17,"","","W","2400"
"15","2016-01-02T00:00:00","TMIN","GHCND:USW00014836",-21,"","","W","2400"
"16","2016-01-02T00:00:00","WDF2","GHCND:USW00014836",230,"","","W",""
"17","2016-01-02T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"18","2016-01-03T00:00:00","AWND","GHCND:USW00014836",45,"","","W",""
"19","2016-01-03T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"20","2016-01-03T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"21","2016-01-03T00:00:00","TAVG","GHCND:USW00014836",-4,"H","","S",""
"22","2016-01-03T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"23","2016-01-03T00:00:00","TMIN","GHCND:USW00014836",-38,"","","W","2400"
"24","2016-01-03T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"25","2016-01-03T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"26","2016-01-04T00:00:00","AWND","GHCND:USW00014836",34,"","","W",""
"27","2016-01-04T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"28","2016-01-04T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"29","2016-01-04T00:00:00","TAVG","GHCND:USW00014836",-48,"H","","S",""
"30","2016-01-04T00:00:00","TMAX","GHCND:USW00014836",-27,"","","W","2400"
"31","2016-01-04T00:00:00","TMIN","GHCND:USW00014836",-138,"","","W","2400"
"32","2016-01-04T00:00:00","WDF2","GHCND:USW00014836",30,"","","W",""
"33","2016-01-04T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"34","2016-01-04T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"35","2016-01-05T00:00:00","AWND","GHCND:USW00014836",34,"","","W",""
"36","2016-01-05T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"37","2016-01-05T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"38","2016-01-05T00:00:00","TAVG","GHCND:USW00014836",-87,"H","","S",""
