"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"66","2022-01-08T00:00:00","TMIN","GHCND:USW00014836",-132,"","","W","2400"
"67","2022-01-08T00:00:00","WDF2","GHCND:USW00014836",160,"","","W",""
"68","2022-01-08T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"69","2022-01-08T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"70","2022-01-09T00:00:00","AWND","GHCND:USW00014836",68,"","","W",""
"71","2022-01-09T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"72","2022-01-09T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"73","2022-01-09T00:00:00","TAVG","GHCND:USW00014836",-4,"H","","S",""
"74","2022-01-09T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"75","2022-01-09T00:00:00","TMIN","GHCND:USW00014836",-105,"","","W","2400"
"76","2022-01-09T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"77","2022-01-09T00:00:00","WSF2","GHCND:USW00014836",134,"","","W",""
"78","2022-01-09T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"79","2022-01-10T00:00:00","AWND","GHCND:USW00014836",65,"","","W",""
"80","2022-01-10T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"81","2022-01-10T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"82","2022-01-10T00:00:00","TAVG","GHCND:USW00014836",-97,"H","","S",""
"83","2022-01-10T00:00:00","TMAX","GHCND:USW00014836",-82,"","","W","2400"
"84","2022-01-10T00:00:00","TMIN","GHCND:USW00014836",-143,"","","W","2400"
"85","2022-01-10T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"86","2022-01-10T00:00:00","WSF2","GHCND:USW00014836",130,"","","W",""
"87","2022-01-11T00:00:00","AWND","GHCND:USW00014836",60,"","","W",""
"88","2022-01-11T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"89","2022-01-11T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"90","2022-01-11T00:00:00","TAVG","GHCND:USW00014836",-108,"H","","S",""
"91","2022-01-11T00:00:00","TMAX","GHCND:USW00014836",-5,"","","W","2400"
"92","2022-01-11T00:00:00","TMIN","GHCND:USW00014836",-155,"","","W","2400"
"93","2022-01-11T00:00:00","WDF2","GHCND:USW00014836",190,"","","W",""
"94","2022-01-11T00:00:00","WSF2","GHCND:USW00014836",130,"","","W",""
"95","2022-01-12T00:00:00","AWND","GHCND:USW00014836",42,"","","W",""
"96","2022-01-12T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"97","2022-01-12T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"98","2022-01-12T00:00:00","TAVG","GHCND:USW00014836",9,"H","","S",""
"99","2022-01-12T00:00:00","TMAX","GHCND:USW00014836",39,"","","W","2400"
"100","2022-01-12T00:00:00","TMIN","GHCND:USW00014836",-10,"","","W","2400"
"101","2022-01-12T00:00:00","WDF2","GHCND:USW00014836",230,"","","W",""
"102","2022-01-12T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"103","2022-01-13T00:00:00","AWND","GHCND:USW00014836",19,"","","W",""
"104","2022-01-13T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"105","2022-01-13T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"106","2022-01-13T00:00:00","TAVG","GHCND:USW00014836",7,"H","","S",""
"107","2022-01-13T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"108","2022-01-13T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"109","2022-01-13T00:00:00","WDF2","GHCND:USW00014836",330,"","","W",""
"110","2022-01-13T00:00:00","WSF2","GHCND:USW00014836",45,"","","W",""
"111","2022-01-13T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"112","2022-01-14T00:00:00","AWND","GHCND:USW00014836",51,"","","W",""
"113","2022-01-14T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"114","2022-01-14T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"115","2022-01-14T00:00:00","TAVG","GHCND:USW00014836",-31,"H","","S",""
"116","2022-01-14T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"117","2022-01-14T00:00:00","TMIN","GHCND:USW00014836",-105,"","","W","2400"
"118","2022-01-14T00:00:00","WDF2","GHCND:USW00014836",60,"","","W",""
"119","2022-01-14T00:00:00","WSF2","GHCND:USW00014836",94,"","","W",""
"120","2022-01-14T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"121","2022-01-15T00:00:00","AWND","GHCND:USW00014836",39,"","","W",""
"122","2022-01-15T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"123","2022-01-15T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
