"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2020-01-01T00:00:00","AWND","GHCND:USW00014836",59,"","","W",""
"2","2020-01-01T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"3","2020-01-01T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"4","2020-01-01T00:00:00","TAVG","GHCND:USW00014836",-19,"H","","S",""
"5","2020-01-01T00:00:00","TMAX","GHCND:USW00014836",39,"","","W","2400"
"6","2020-01-01T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"7","2020-01-01T00:00:00","WDF2","GHCND:USW00014836",200,"","","W",""
"8","2020-01-01T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"9","2020-01-02T00:00:00","AWND","GHCND:USW00014836",63,"","","W",""
"10","2020-01-02T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"11","2020-01-02T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"12","2020-01-02T00:00:00","TAVG","GHCND:USW00014836",38,"H","","S",""
"13","2020-01-02T00:00:00","TMAX","GHCND:USW00014836",72,"","","W","2400"
"14","2020-01-02T00:00:00","TMIN","GHCND:USW00014836",22,"","","W","2400"
"15","2020-01-02T00:00:00","WDF2","GHCND:USW00014836",220,"","","W",""
"16","2020-01-02T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"17","2020-01-03T00:00:00","AWND","GHCND:USW00014836",25,"","","W",""
"18","2020-01-03T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"19","2020-01-03T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"20","2020-01-03T00:00:00","TAVG","GHCND:USW00014836",38,"H","","S",""
"21","2020-01-03T00:00:00","TMAX","GHCND:USW00014836",50,"","","W","2400"
"22","2020-01-03T00:00:00","TMIN","GHCND:USW00014836",6,"","","W","2400"
"23","2020-01-03T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"24","2020-01-03T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"25","2020-01-03T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"26","2020-01-04T00:00:00","AWND","GHCND:USW00014836",42,"","","W",""
"27","2020-01-04T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"28","2020-01-04T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"29","2020-01-04T00:00:00","TAVG","GHCND:USW00014836",0,"H","","S",""
"30","2020-01-04T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"31","2020-01-04T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"32","2020-01-04T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"33","2020-01-04T00:00:00","WSF2","GHCND:USW00014836",81,"","","W",""
"34","2020-01-04T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"35","2020-01-05T00:00:00","AWND","GHCND:USW00014836",58,"","","W",""
"36","2020-01-05T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"37","2020-01-05T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"38","2020-01-05T00:00:00","TAVG","GHCND:USW00014836",-10,"H","","S",""
"39","2020-01-05T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"40","2020-01-05T00:00:00","TMIN","GHCND:USW00014836",-21,"","","W","2400"
"41","2020-01-05T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"42","2020-01-05T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"43","2020-01-05T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"44","2020-01-06T00:00:00","AWND","GHCND:USW00014836",68,"","","W",""
"45","2020-01-06T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"46","2020-01-06T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"47","2020-01-06T00:00:00","TAVG","GHCND:USW00014836",18,"H","","S",""
"48","2020-01-06T00:00:00","TMAX","GHCND:USW00014836",56,"","","W","2400"
"49","2020-01-06T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"50","2020-01-06T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"51","2020-01-06T00:00:00","WSF2","GHCND:USW00014836",116,"","","W",""
"52","2020-01-07T00:00:00","AWND","GHCND:USW00014836",48,"","","W",""
"53","2020-01-07T00:00:00","PRCP","GHCND:USW00014836",15,"","","W","2400"
"54","2020-01-07T00:00:00","SNOW","GHCND:USW00014836",15,"","","W",""
"55","2020-01-07T00:00:00","TAVG","GHCND:USW00014836",-1,"H","","S",""
"56","2020-01-07T00:00:00","TMAX","GHCND:USW00014836",33,"","","W","2400"
"57","2020-01-07T00:00:00","TMIN","GHCND:USW00014836",-32,"","","W","2400"
"58","2020-01-07T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"59","2020-01-07T00:00:00","WSF2","GHCND:USW00014836",116,"","","W",""
"60","2020-01-07T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"61","2020-01-08T00:00:00","AWND","GHCND:USW00014836",47,"","","W",""
"62","2020-01-08T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"63","2020-01-08T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"64","2020-01-08T00:00:00","TAVG","GHCND:USW00014836",-46,"H","","S",""
"65","2020-01-08T00:00:00","TMAX","GHCND:USW00014836",-16,"","","W","2400"
"66","2020-01-08T00:00:00","TMIN","GHCND:USW00014836",-116,"","","W","2400"
"67","2020-01-08T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"68","2020-01-08T00:00:00","WSF2","GHCND:USW00014836",98,"","","W",""
"69","2020-01-08T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"70","2020-01-09T00:00:00","AWND","GHCND:USW00014836",74,"","","W",""
"71","2020-01-09T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"72","2020-01-09T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"73","2020-01-09T00:00:00","TAVG","GHCND:USW00014836",-49,"H","","S",""
"74","2020-01-09T00:00:00","TMAX","GHCND:USW00014836",89,"","","W","2400"
"75","2020-01-09T00:00:00","TMIN","GHCND:USW00014836",-88,"","","W","2400"
"76","2020-01-09T00:00:00","WDF2","GHCND:USW00014836",160,"","","W",""
"77","2020-01-09T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"78","2020-01-10T00:00:00","AWND","GHCND:USW00014836",39,"","","W",""
"79","2020-01-10T00:00:00","PRCP","GHCND:USW00014836",25,"","","W","2400"
"80","2020-01-10T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"81","2020-01-10T00:00:00","TAVG","GHCND:USW00014836",81,"H","","S",""
"82","2020-01-10T00:00:00","TMAX","GHCND:USW00014836",89,"","","W","2400"
"83","2020-01-10T00:00:00","TMIN","GHCND:USW00014836",67,"","","W","2400"
"84","2020-01-10T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
