"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2017-01-01T00:00:00","AWND","GHCND:USW00014836",29,"","","W",""
"2","2017-01-01T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"3","2017-01-01T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"4","2017-01-01T00:00:00","TAVG","GHCND:USW00014836",-4,"H","","S",""
"5","2017-01-01T00:00:00","TMAX","GHCND:USW00014836",56,"","","W","2400"
"6","2017-01-01T00:00:00","TMIN","GHCND:USW00014836",-60,"","","W","2400"
"7","2017-01-01T00:00:00","WDF2","GHCND:USW00014836",240,"","","W",""
"8","2017-01-01T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
"9","2017-01-02T00:00:00","AWND","GHCND:USW00014836",30,"","","W",""
"10","2017-01-02T00:00:00","PRCP","GHCND:USW00014836",135,"","","W","2400"
"11","2017-01-02T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"12","2017-01-02T00:00:00","TAVG","GHCND:USW00014836",4,"H","","S",""
"13","2017-01-02T00:00:00","TMAX","GHCND:USW00014836",67,"","","W","2400"
"14","2017-01-02T00:00:00","TMIN","GHCND:USW00014836",-49,"","","W","2400"
"15","2017-01-02T00:00:00","WDF2","GHCND:USW00014836",100,"","","W",""
"16","2017-01-02T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
"17","2017-01-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"18","2017-01-03T00:00:00","AWND","GHCND:USW00014836",33,"","","W",""
"19","2017-01-03T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"20","2017-01-03T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"21","2017-01-03T00:00:00","TAVG","GHCND:USW00014836",25,"H","","S",""
"22","2017-01-03T00:00:00","TMAX","GHCND:USW00014836",28,"","","W","2400"
"23","2017-01-03T00:00:00","TMIN","GHCND:USW00014836",17,"","","W","2400"
"24","2017-01-03T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
