"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2019-01-01T00:00:00","AWND","GHCND:USW00014836",36,"","","W",""
"2","2019-01-01T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"3","2019-01-01T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"4","2019-01-01T00:00:00","TAVG","GHCND:USW00014836",0,"H","","S",""
"5","2019-01-01T00:00:00","TMAX","GHCND:USW00014836",11,"","","W","2400"
"6","2019-01-01T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"7","2019-01-01T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
"8","2019-01-01T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
"9","2019-01-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2019-01-02T00:00:00","AWND","GHCND:USW00014836",37,"","","W",""
"11","2019-01-02T00:00:00","PRCP","GHCND:USW00014836",13,"","","W","2400"
"12","2019-01-02T00:00:00","TAVG","GHCND:USW00014836",-27,"H","","S",""
"13","2019-01-02T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"14","2019-01-02T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"15","2019-01-02T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"16","2019-01-02T00:00:00","WSF2","GHCND:USW00014836",94,"","","W",""
"17","2019-01-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"18","2019-01-03T00:00:00","AWND","GHCND:USW00014836",64,"","","W",""
"19","2019-01-03T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"20","2019-01-03T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"21","2019-01-03T00:00:00","TAVG","GHCND:USW00014836",-5,"H","","S",""
"22","2019-01-03T00:00:00","TMAX","GHCND:USW00014836",33,"","","W","2400"
"23","2019-01-03T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"24","2019-01-03T00:00:00","WDF2","GHCND:USW00014836",230,"","","W",""
"25","2019-01-03T00:00:00","WSF2","GHCND:USW00014836",94,"","","W",""
"26","2019-01-04T00:00:00","AWND","GHCND:USW00014836",33,"","","W",""
"27","2019-01-04T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"28","2019-01-04T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"29","2019-01-04T00:00:00","TAVG","GHCND:USW00014836",26,"H","","S",""
"30","2019-01-04T00:00:00","TMAX","GHCND:USW00014836",100,"","","W","2400"
"31","2019-01-04T00:00:00","TMIN","GHCND:USW00014836",-27,"","","W","2400"
"32","2019-01-04T00:00:00","WDF2","GHCND:USW00014836",240,"","","W",""
"33","2019-01-04T00:00:00","WSF2","GHCND:USW00014836",81,"","","W",""
"34","2019-01-05T00:00:00","AWND","GHCND:USW00014836",34,"","","W",""
"35","2019-01-05T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"36","2019-01-05T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"37","2019-01-05T00:00:00","TAVG","GHCND:USW00014836",16,"H","","S",""
"38","2019-01-05T00:00:00","TMAX","GHCND:USW00014836",100,"","","W","2400"
"39","2019-01-05T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"40","2019-01-05T00:00:00","WDF2","GHCND:USW00014836",260,"","","W",""
"41","2019-01-05T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"42","2019-01-05T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"43","2019-01-06T00:00:00","AWND","GHCND:USW00014836",34,"","","W",""
"44","2019-01-06T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"45","2019-01-06T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"46","2019-01-06T00:00:00","TAVG","GHCND:USW00014836",23,"H","","S",""
"47","2019-01-06T00:00:00","TMAX","GHCND:USW00014836",39,"","","W","2400"
"48","2019-01-06T00:00:00","TMIN","GHCND:USW00014836",-21,"","","W","2400"
"49","2019-01-06T00:00:00","WDF2","GHCND:USW00014836",100,"","","W",""
"50","2019-01-06T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"51","2019-01-07T00:00:00","AWND","GHCND:USW00014836",88,"","","W",""
"52","2019-01-07T00:00:00","PRCP","GHCND:USW00014836",53,"","","W","2400"
"53","2019-01-07T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"54","2019-01-07T00:00:00","TAVG","GHCND:USW00014836",13,"H","","S",""
"55","2019-01-07T00:00:00","TMAX","GHCND:USW00014836",106,"","","W","2400"
