"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"71","03-11","",43,10.1,0,68,29.36,32,4.1,18,170,656,1841
"72","03-12","FG,BR",44,10.7,0,71,29.24,36,2.5,13,180,654,1842
"73","03-13","RA,BR",46,12.3,1.01,85,28.99,41,9.2,23,110,653,1843
"74","03-14","RA,BR",48,13.9,0.04,89,28.74,46,7.3,17,250,651,1845
"75","03-15","RA,FG,BR",49,14.5,0.04,81,28.86,43,8.1,26,190,649,1846
"76","03-16","RA,BR",51,16.1,0.08,63,28.64,37,21.6,56,250,647,1847
"77","03-17","RA",42,6.7,0.005,53,28.83,28,15.9,43,270,646,1848
"78","03-18","",38,2.3,0,73,29.05,28,5.5,18,40,644,1849
"79","03-19","",32,-4.1,0,61,29.24,20,9.2,23,30,642,1850
"80","03-20","",32,-4.5,0,57,29.19,18,7.1,19,280,640,1852
"81","03-21","",36,-0.9,0,51,29.15,18,7.8,23,290,639,1853
"82","03-22","RA",46,8.6,0.005,54,28.92,30,7.7,26,220,637,1854
"83","03-23","RA,BR,UP",40,2.2,0.14,88,28.97,33,12.9,26,40,635,1855
"84","03-24","RA,SN,BR,UP",34,-4.2,0.64,93,28.71,33,10.2,23,350,633,1856
"85","03-25","",35,-3.6,0,71,29.03,25,6.5,22,320,632,1857
"86","03-26","BR",39,-0.1,0,68,29.26,29,7.5,17,150,630,1859
"87","03-27","RA",52,12.5,0.06,62,29.04,37,10,28,200,628,1900
"88","03-28","RA,BR",40,0.1,0.29,81,28.94,36,12.3,32,290,626,1901
"89","03-29","",40,-0.3,0,59,29.32,25,4.7,14,20,624,1902
"90","03-30","RA",48,7.2,0.06,59,29.04,34,13.5,34,190,623,1903
"91","03-31","TS,RA,BR",53,11.8,1.17,85,28.51,51,17.3,43,190,621,1904
"92","04-01","RA,BR",42,0.4,0.01,67,28.71,31,12.6,27,250,619,1905
