"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"327","11-22","",30,-7,0,66,29.36,19,3.3,12,20,740,1709
"328","11-23","RA,FZRA,BR,UP",32,-4.6,0.5,78,29.22,30,9.8,23,120,741,1709
"329","11-24","RA,BR",41,4.8,0.05,88,29.11,38,8.6,21,260,742,1708
"330","11-25","RA,BR",39,3.3,0.04,83,29.27,35,9.3,16,240,743,1708
"331","11-26","",36,0.7,0,77,29.29,31,8.4,22,260,744,1707
"332","11-27","BR,HZ",38,3.1,0,81,29.15,32,6.9,17,200,746,1707
"333","11-28","RA,BR",44,9.5,0.49,78,28.78,38,16.1,40,160,747,1706
"334","11-29","TS,RA,HZ",52,17.9,0.23,67,28.58,42,13.5,49,160,748,1706
"335","11-30","BR",44,10.3,0.005,76,28.66,38,9.8,30,250,749,1705
"336","12-01","RA,BR",38,4.7,0.01,82,28.77,33,12.8,27,210,750,1705
"337","12-02","RA",37,4.1,0.005,72,29.1,28,11.2,26,290,751,1705
"338","12-03","",36,3.5,0.005,73,29.33,28,6.2,15,260,752,1705
"339","12-04","SN,FG,BR",34,1.9,0.36,77,29.17,27,5.9,18,140,753,1705
"340","12-05","SN,BR",33,1.3,0.005,83,29.03,29,8.6,22,260,754,1704
"341","12-06","BR",32,0.7,0,80,28.9,29,9.2,29,260,755,1704
"342","12-07","",34,3.1,0,62,29.01,21,17.1,35,260,756,1704
"343","12-08","SN,BR",28,-2.6,0.04,75,29.19,19,16.7,34,250,757,1704
"344","12-09","SN,BR",26,-4.2,0.01,75,29.41,19,10.2,22,270,758,1704
"345","12-10","SN,BR",23,-6.9,0.04,78,29.46,17,8.6,21,260,759,1704
"346","12-11","SN,FZFG,BR,FG",26,-3.5,0.55,86,29.11,22,10.3,23,150,759,1704
"347","12-12","SN,BR",28,-1.2,0.04,76,28.91,23,13.8,33,260,800,1705
"348","12-13","SN,BR,HZ",18,-10.9,0.02,75,29.11,12,10.8,27,260,801,1705
"349","12-14","SN,BR,UP,HZ",15,-13.5,0.05,72,29.05,8,16.7,39,290,802,1705
"350","12-15","SN,UP",10,-18.2,0.005,68,29.24,0,11.3,32,270,803,1705
"351","12-16","SN",12,-15.9,0.2,69,29.26,4,9.4,20,140,803,1706
"352","12-17","FZRA,SN,FZFG,BR,UP,HZ,FG",21,-6.7,0.06,81,28.77,16,4.1,26,90,804,1706
"353","12-18","SN,BR",14,-13.4,0.005,71,29.21,8,8.1,21,340,804,1706
"354","12-19","SN",11,-16.1,0.005,57,29.65,-1,11.5,24,200,805,1707
"355","12-20","",20,-6.8,0,49,29.25,5,17.3,42,210,806,1707
"356","12-21","BR,HZ",26,-0.6,0,75,29.11,20,9.7,35,110,806,1708
"357","12-22","",34,7.6,0,71,29.15,26,11,22,260,807,1708
"358","12-23","RA,FZRA,BR,UP,HZ",32,5.9,0.08,75,29.28,25,9.6,24,150,807,1709
"359","12-24","RA,SN,BR,UP",36,10.1,0.07,83,29.18,31,7.3,17,190,807,1710
"360","12-25","RA,BR",34,8.3,0.05,80,29.48,29,12,29,140,808,1710
"361","12-26","RA,BR,UP",44,18.5,0.18,79,29.03,38,19.8,48,250,808,1711
"362","12-27","",30,4.7,0,71,29.05,20,16.5,44,270,808,1712
"363","12-28","",32,6.9,0,66,29.07,22,10.3,29,150,809,1712
"364","12-29","SN",34,9.1,0.005,71,28.75,25,16.7,37,260,809,1713
"365","12-30","SN",28,3.2,0.005,64,28.95,17,14,30,290,809,1714
"366","12-31","",36,11.4,0,56,28.7,21,16.4,35,240,809,1715
