"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2021-01-01T00:00:00","AWND","GHCND:USW00014836",36,"","","W",""
"2","2021-01-01T00:00:00","PRCP","GHCND:USW00014836",58,"","","W","2400"
"3","2021-01-01T00:00:00","SNOW","GHCND:USW00014836",71,"","","W",""
"4","2021-01-01T00:00:00","TAVG","GHCND:USW00014836",-47,"H","","S",""
"5","2021-01-01T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"6","2021-01-01T00:00:00","TMIN","GHCND:USW00014836",-93,"","","W","2400"
"7","2021-01-01T00:00:00","WDF2","GHCND:USW00014836",80,"","","W",""
"8","2021-01-01T00:00:00","WSF2","GHCND:USW00014836",94,"","","W",""
"9","2021-01-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2021-01-02T00:00:00","AWND","GHCND:USW00014836",19,"","","W",""
"11","2021-01-02T00:00:00","PRCP","GHCND:USW00014836",48,"","","W","2400"
"12","2021-01-02T00:00:00","SNOW","GHCND:USW00014836",53,"","","W",""
"13","2021-01-02T00:00:00","TAVG","GHCND:USW00014836",-9,"H","","S",""
"14","2021-01-02T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"15","2021-01-02T00:00:00","TMIN","GHCND:USW00014836",-32,"","","W","2400"
"16","2021-01-02T00:00:00","WDF2","GHCND:USW00014836",150,"","","W",""
"17","2021-01-02T00:00:00","WSF2","GHCND:USW00014836",54,"","","W",""
"18","2021-01-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"19","2021-01-03T00:00:00","AWND","GHCND:USW00014836",18,"","","W",""
"20","2021-01-03T00:00:00","PRCP","GHCND:USW00014836",20,"","","W","2400"
"21","2021-01-03T00:00:00","SNOW","GHCND:USW00014836",8,"","","W",""
"22","2021-01-03T00:00:00","TAVG","GHCND:USW00014836",-3,"H","","S",""
"23","2021-01-03T00:00:00","TMAX","GHCND:USW00014836",17,"","","W","2400"
"24","2021-01-03T00:00:00","TMIN","GHCND:USW00014836",-10,"","","W","2400"
"25","2021-01-03T00:00:00","WDF2","GHCND:USW00014836",250,"","","W",""
"26","2021-01-03T00:00:00","WSF2","GHCND:USW00014836",45,"","","W",""
"27","2021-01-03T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"28","2021-01-04T00:00:00","AWND","GHCND:USW00014836",33,"","","W",""
"29","2021-01-04T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"30","2021-01-04T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"31","2021-01-04T00:00:00","TAVG","GHCND:USW00014836",-3,"H","","S",""
"32","2021-01-04T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"33","2021-01-04T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"34","2021-01-04T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"35","2021-01-04T00:00:00","WSF2","GHCND:USW00014836",58,"","","W",""
"36","2021-01-04T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"37","2021-01-05T00:00:00","AWND","GHCND:USW00014836",27,"","","W",""
"38","2021-01-05T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"39","2021-01-05T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"40","2021-01-05T00:00:00","TAVG","GHCND:USW00014836",-7,"H","","S",""
"41","2021-01-05T00:00:00","TMAX","GHCND:USW00014836",11,"","","W","2400"
"42","2021-01-05T00:00:00","TMIN","GHCND:USW00014836",-10,"","","W","2400"
"43","2021-01-05T00:00:00","WDF2","GHCND:USW00014836",310,"","","W",""
"44","2021-01-05T00:00:00","WSF2","GHCND:USW00014836",54,"","","W",""
"45","2021-01-05T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"46","2021-01-06T00:00:00","AWND","GHCND:USW00014836",22,"","","W",""
"47","2021-01-06T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"48","2021-01-06T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"49","2021-01-06T00:00:00","TAVG","GHCND:USW00014836",16,"H","","S",""
"50","2021-01-06T00:00:00","TMAX","GHCND:USW00014836",28,"","","W","2400"
"51","2021-01-06T00:00:00","TMIN","GHCND:USW00014836",-5,"","","W","2400"
"52","2021-01-06T00:00:00","WDF2","GHCND:USW00014836",330,"","","W",""
"53","2021-01-06T00:00:00","WSF2","GHCND:USW00014836",40,"","","W",""
"54","2021-01-07T00:00:00","AWND","GHCND:USW00014836",32,"","","W",""
"55","2021-01-07T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"56","2021-01-07T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"57","2021-01-07T00:00:00","TAVG","GHCND:USW00014836",3,"H","","S",""
"58","2021-01-07T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"59","2021-01-07T00:00:00","TMIN","GHCND:USW00014836",-27,"","","W","2400"
"60","2021-01-07T00:00:00","WDF2","GHCND:USW00014836",40,"","","W",""
"61","2021-01-07T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"62","2021-01-07T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"63","2021-01-08T00:00:00","AWND","GHCND:USW00014836",29,"","","W",""
"64","2021-01-08T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"65","2021-01-08T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"66","2021-01-08T00:00:00","TAVG","GHCND:USW00014836",-30,"H","","S",""
"67","2021-01-08T00:00:00","TMAX","GHCND:USW00014836",-21,"","","W","2400"
"68","2021-01-08T00:00:00","TMIN","GHCND:USW00014836",-105,"","","W","2400"
"69","2021-01-08T00:00:00","WDF2","GHCND:USW00014836",30,"","","W",""
"70","2021-01-08T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"71","2021-01-09T00:00:00","AWND","GHCND:USW00014836",6,"","","W",""
"72","2021-01-09T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"73","2021-01-09T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"74","2021-01-09T00:00:00","TAVG","GHCND:USW00014836",-66,"H","","S",""
"75","2021-01-09T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"76","2021-01-09T00:00:00","TMIN","GHCND:USW00014836",-116,"","","W","2400"
"77","2021-01-09T00:00:00","WDF2","GHCND:USW00014836",350,"","","W",""
"78","2021-01-09T00:00:00","WSF2","GHCND:USW00014836",31,"","","W",""
"79","2021-01-09T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"80","2021-01-10T00:00:00","AWND","GHCND:USW00014836",5,"","","W",""
"81","2021-01-10T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"82","2021-01-10T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"83","2021-01-10T00:00:00","TAVG","GHCND:USW00014836",-49,"H","","S",""
"84","2021-01-10T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"85","2021-01-10T00:00:00","TMIN","GHCND:USW00014836",-105,"","","W","2400"
"86","2021-01-10T00:00:00","WDF2","GHCND:USW00014836",200,"","","W",""
"87","2021-01-10T00:00:00","WSF2","GHCND:USW00014836",31,"","","W",""
"88","2021-01-10T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"89","2021-01-11T00:00:00","AWND","GHCND:USW00014836",51,"","","W",""
"90","2021-01-11T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"91","2021-01-11T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"92","2021-01-11T00:00:00","TAVG","GHCND:USW00014836",-20,"H","","S",""
"93","2021-01-11T00:00:00","TMAX","GHCND:USW00014836",-16,"","","W","2400"
"94","2021-01-11T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"95","2021-01-11T00:00:00","WDF2","GHCND:USW00014836",250,"","","W",""
"96","2021-01-11T00:00:00","WSF2","GHCND:USW00014836",98,"","","W",""
"97","2021-01-11T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"98","2021-01-12T00:00:00","AWND","GHCND:USW00014836",46,"","","W",""
