"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2018-01-01T00:00:00","AWND","GHCND:USW00014836",43,"","","W",""
"2","2018-01-01T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"3","2018-01-01T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"4","2018-01-01T00:00:00","TAVG","GHCND:USW00014836",-141,"H","","S",""
"5","2018-01-01T00:00:00","TMAX","GHCND:USW00014836",-110,"","","W","2400"
"6","2018-01-01T00:00:00","TMIN","GHCND:USW00014836",-160,"","","W","2400"
"7","2018-01-01T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
"8","2018-01-01T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"9","2018-01-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2018-01-02T00:00:00","AWND","GHCND:USW00014836",66,"","","W",""
"11","2018-01-02T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"12","2018-01-02T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"13","2018-01-02T00:00:00","TAVG","GHCND:USW00014836",-110,"H","","S",""
"14","2018-01-02T00:00:00","TMAX","GHCND:USW00014836",-77,"","","W","2400"
"15","2018-01-02T00:00:00","TMIN","GHCND:USW00014836",-166,"","","W","2400"
"16","2018-01-02T00:00:00","WDF2","GHCND:USW00014836",240,"","","W",""
"17","2018-01-02T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"18","2018-01-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"19","2018-01-03T00:00:00","AWND","GHCND:USW00014836",51,"","","W",""
"20","2018-01-03T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"21","2018-01-03T00:00:00","SNOW","GHCND:USW00014836",8,"","","W",""
"22","2018-01-03T00:00:00","TAVG","GHCND:USW00014836",-131,"H","","S",""
"23","2018-01-03T00:00:00","TMAX","GHCND:USW00014836",-82,"","","W","2400"
"24","2018-01-03T00:00:00","TMIN","GHCND:USW00014836",-166,"","","W","2400"
"25","2018-01-03T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"26","2018-01-03T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"27","2018-01-03T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"28","2018-01-04T00:00:00","AWND","GHCND:USW00014836",35,"","","W",""
"29","2018-01-04T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"30","2018-01-04T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"31","2018-01-04T00:00:00","TAVG","GHCND:USW00014836",-126,"H","","S",""
"32","2018-01-04T00:00:00","TMAX","GHCND:USW00014836",-99,"","","W","2400"
"33","2018-01-04T00:00:00","TMIN","GHCND:USW00014836",-205,"","","W","2400"
"34","2018-01-04T00:00:00","WDF2","GHCND:USW00014836",330,"","","W",""
"35","2018-01-04T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"36","2018-01-05T00:00:00","AWND","GHCND:USW00014836",22,"","","W",""
"37","2018-01-05T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"38","2018-01-05T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"39","2018-01-05T00:00:00","TAVG","GHCND:USW00014836",-176,"H","","S",""
"40","2018-01-05T00:00:00","TMAX","GHCND:USW00014836",-143,"","","W","2400"
"41","2018-01-05T00:00:00","TMIN","GHCND:USW00014836",-221,"","","W","2400"
"42","2018-01-05T00:00:00","WDF2","GHCND:USW00014836",340,"","","W",""
"43","2018-01-05T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"44","2018-01-06T00:00:00","AWND","GHCND:USW00014836",12,"","","W",""
"45","2018-01-06T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"46","2018-01-06T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"47","2018-01-06T00:00:00","TAVG","GHCND:USW00014836",-168,"H","","S",""
"48","2018-01-06T00:00:00","TMAX","GHCND:USW00014836",-116,"","","W","2400"
"49","2018-01-06T00:00:00","TMIN","GHCND:USW00014836",-216,"","","W","2400"
"50","2018-01-06T00:00:00","WDF2","GHCND:USW00014836",360,"","","W",""
"51","2018-01-06T00:00:00","WSF2","GHCND:USW00014836",45,"","","W",""
"52","2018-01-06T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"53","2018-01-07T00:00:00","AWND","GHCND:USW00014836",69,"","","W",""
"54","2018-01-07T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"55","2018-01-07T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"56","2018-01-07T00:00:00","TAVG","GHCND:USW00014836",-111,"H","","S",""
"57","2018-01-07T00:00:00","TMAX","GHCND:USW00014836",-5,"","","W","2400"
"58","2018-01-07T00:00:00","TMIN","GHCND:USW00014836",-155,"","","W","2400"
"59","2018-01-07T00:00:00","WDF2","GHCND:USW00014836",190,"","","W",""
"60","2018-01-07T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"61","2018-01-07T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
